State,State Ab.,State Capital,Population,ORI Code,No. of Officers,Year of Data,No. of Rapes,No. of Simple Assaults,No. of Stolen Property Cases,Total Crimes,School Ratings,,Unemployment Rate,,Avg. Income,,"Crimes(R,SA,SP) Per Citizen",School Correlation?,Unemploy. Correlation?,Income Correlation?
UTAH,UT,Salt Lake City,"200,567",UT0180300,474,2018,13,969,128,1110,4.6,,1.94,,"$68,374.00 ",,0.005534,,,
VERMONT,VT,Montpelier,"7,855",VT0120200,15,2018,1,11,0,12,4.5,,2.22,,"$60,076.00 ",,0.001528,,,
VIRGINIA,VA,Richmond,"230,436",VA1220000,737,2018,11,1707,114,1832,3.87,,2.59,,"$71,564.00 ",,0.00795,,,
WASHINGTON,WA,Olympia,"46,478",WA0340100,74,2018,5,323,32,360,7.5,,2.72,,"$70,116.00 ",,0.007746,,,
WEST VIRGINIA,WV,Charleston,"46,536",WV0200200,163,2018,1,303,62,366,3.5,,2.94,,"$44,921.00 ",,0.007865,,,
WISCONSIN,WI,Madison,"259,680",WI0130100,482,2018,35,665,15,715,4.2,,2.16,,"$59,209.00 ",,0.002753,,,
WYOMING,WY,Cheyenne,"64,235",WY0110100,107,2018,1,284,27,312,3.5,,2.35,,"$62,268.00 ",,0.004857,,,
,,,,,,,,,,,,,,,,,,,,
,,,,Mean,550.72,,21.64,947.32,78.44,1047.4,4.2,,2.76,,"$60,181.00 ",,0.004938,,,
,,,,1SD,694.1714497,,29.50441323,1161.719939,117.7844064,1255.274265,1.245624886,,0.511105038,,"$9,806.90 ",,0.003373,,,
,,,,2SD,1388.342899,,59.00882646,2323.439879,235.5688129,2510.54853,2.491249771,,1.022210076,,"$19,613.81 ",,0.006746,,,
,,,,3SD,2082.514349,,88.51323969,3485.159818,353.3532193,3765.822795,7.473749314,,3.066630229,,"$29,420.71 ",,0.010119001,,,
